Cross,Population,Latitude,JulyMax,JulyMean,OctMin,OctMean,Maternal Fam,Paternal Fam,Sex,ContainerID,Temp,Wet Mass
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,M,24.1,24,0.0172
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,20.1,20,0.01603
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,20.1,20,0.01468
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,M,20.1,20,0.01006
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.1,16,0.00842
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.1,16,0.00806
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.1,16,0.00901
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.1,16,0.00934
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.2,16,0.01042
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,M,16.1,16,0.0133
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,M,16.1,16,0.00689
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,M,16.2,16,0.01672
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,M,16.2,16,0.0183
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.2,16,0.01156
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.2,16,0.01381
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.2,16,0.0102
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,F,16.2,16,0.01443
C5xC13,C,54.89,19.4,14.95,5.7,9,5,13,M,20.2,20,0.0077
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,24.1,24,0.01412
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,24.1,24,0.02307
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,24.1,24,0.01149
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,24.1,24,0.01194
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,24.1,24,0.01302
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,24.1,24,0.01959
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,24.2,24,0.01154
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,24.2,24,0.01573
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,20.1,20,0.01205
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,20.1,20,0.01312
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,24.1,24,0.0155
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,24.1,24,0.01604
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,20.2,20,0.01206
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,20.2,20,0.0157
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,20.2,20,0.01573
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,20.1,20,0.0112
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,20.1,20,0.0188
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,20.1,24,0.02093
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,16.2,16,0.01403
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,16.1,16,0.01065
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,M,16.1,16,0.01915
C5xC7,C,54.89,19.4,14.95,5.7,9,5,7,F,16.1,16,0.01429
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,24.1,24,0.01047
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,24.1,24,0.01499
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,24.1,24,0.00955
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,24.1,24,0.01398
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,24.1,24,0.01028
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,24.2,24,0.01066
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,24.2,24,0.01252
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,16.2,16,0.01338
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,M,16.2,16,0.01611
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,20.2,20,0.01728
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,M,24.1,24,0.01777
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,16.2,16,0.00928
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,M,20.1,20,0.01679
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,M,16.2,16,0.01388
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,16.1,16,0.01498
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,F,16.1,16,0.01169
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,M,16.2,16,0.01678
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,M,16.1,16,0.01961
C7xC13,C,54.89,19.4,14.95,5.7,9,7,13,M,16.1,16,0.02183
C7xC19,C,54.89,19.4,14.95,5.7,9,7,19,F,24.1,24,0.01093
C7xC19,C,54.89,19.4,14.95,5.7,9,7,19,F,20.1,20,0.01387
C7xC19,C,54.89,19.4,14.95,5.7,9,7,19,F,20.1,20,0.01528
C7xC19,C,54.89,19.4,14.95,5.7,9,7,19,M,24.2,24,0.01407
C7xC19,C,54.89,19.4,14.95,5.7,9,7,19,M,20.2,20,0.01866
C7xC19,C,54.89,19.4,14.95,5.7,9,7,19,F,16.2,16,0.01262
C7xC19,C,54.89,19.4,14.95,5.7,9,7,19,M,16.1,16,0.02683
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,24.1,24,0.01462
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,24.1,24,0.01216
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,M,24.2,24,0.01581
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,M,24.2,24,0.01604
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,M,24.2,24,0.01795
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,20.1,20,0.01158
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,20.1,20,0.01066
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,20.2,20,0.01242
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,16.1,16,0.01231
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,16.1,16,0.01246
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,16.1,16,0.01319
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,F,16.1,16,0.0124
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,M,20.1,20,0.01677
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,M,16.2,16,0.0261
C9xC16,C,54.89,19.4,14.95,5.7,9,9,16,M,16.2,16,0.02542
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,20.1,20,0.01502
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,20.1,20,0.01841
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,20.2,20,0.011
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,20.2,20,0.01305
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,20.2,20,0.01505
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,20.2,20,0.01677
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,20.2,20,0.01583
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,20.2,20,0.01698
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,16.1,16,0.01538
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.1,16,0.01371
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.1,16,0.01561
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.1,16,0.01247
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.1,16,0.01355
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.1,16,0.01231
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,16.2,16,0.02429
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.2,16,0.01488
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.2,16,0.01299
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,M,16.1,16,0.01947
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.2,16,0.01277
D2xD3,D,52.87,21.3,16.35,6.7,10.3,2,3,F,16.2,16,0.01129
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,24.2,24,0.01173
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,24.2,24,0.01078
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,24.1,24,0.01349
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,24.1,24,0.00988
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,24.1,24,0.0105
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,24.1,24,0.01096
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,24.2,24,0.01481
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,24.1,24,0.01636
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,24.1,24,0.01778
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,24.2,24,0.01752
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,24.2,24,0.01712
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,24.2,24,0.01618
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,24.2,24,0.01942
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,20.2,20,0.00985
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.01761
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.01455
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.01581
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.0125
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.01709
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.01707
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.01543
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,20.2,20,0.01472
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,20.2,20,0.01812
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.1,16,0.01579
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.1,16,0.01892
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,16.1,16,0.01149
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.1,16,0.01923
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.1,16,0.01687
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,16.2,16,0.00989
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,16.2,16,0.00974
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,F,16.2,16,0.00857
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.2,16,0.01789
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.2,16,0.01506
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.1,16,0.01913
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.1,16,0.01919
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.2,16,0.01889
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.2,16,0.01494
D6XD15,D,52.87,21.3,16.35,6.7,10.3,6,15,M,16.2,16,0.01299
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,24.1,24,0.01358
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,24.1,24,0.0079
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,24.1,24,0.0101
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,24.1,24,0.0114
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,24.1,24,0.0079
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,24.2,24,0.01299
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,24.2,24,0.01593
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,20.2,20,0.00801
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,20.2,20,0.00953
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,20.2,20,0.00983
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.2,20,0.01272
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.1,16,0.01681
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.1,16,0.01031
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.1,20,0.01201
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.1,20,0.01424
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.1,20,0.01536
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.2,20,0.0143
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.2,20,0.0141
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.2,20,0.01233
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.1,16,0.018
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,16.1,16,0.00955
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,16.2,16,0.00869
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,16.2,16,0.01103
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,F,16.2,16,0.01086
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.2,16,0.01755
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.2,16,0.01553
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.1,20,0.01107
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,20.1,20,0.0132
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.2,16,0.01708
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.2,16,0.01894
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.1,16,0.01589
D6xD2,D,52.87,21.3,16.35,6.7,10.3,6,2,M,16.2,16,0.01509
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.1,20,0.01077
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.1,20,0.00967
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.1,20,0.01049
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,20.1,20,0.01736
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,20.2,20,0.00959
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.2,20,0.01243
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.2,20,0.0123
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.2,20,0.01168
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,20.2,20,0.01683
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.2,20,0.00961
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,20.2,20,0.01659
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,20.2,20,0.0101
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,24.2,24,0.00729
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,16.1,16,0.01745
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,16.1,16,0.02169
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,16.1,16,0.01467
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,16.2,16,0.01175
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,F,16.2,16,0.01092
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,16.2,16,0.01604
D6xD4,D,52.87,21.3,16.35,6.7,10.3,6,4,M,16.2,16,0.01495
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,F,20.1,20,0.01007
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,F,20.1,20,0.0111
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,F,20.2,20,0.0108
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,F,20.2,20,0.01044
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,24.1,24,0.01728
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,24.1,24,0.01767
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,24.2,24,0.0173
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,24.2,24,0.01671
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,F,20.1,20,0.00999
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,20.2,20,0.01431
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,20.2,20,0.01448
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,F,20.2,20,0.00904
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,16.2,16,0.02215
