City,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
Glasgow,9,11,11,6,8,9,6,10,7,9
Cambridge,10,9,12,8,11,12,11,12,11,11
Falmouth,12,13,13,11,12,13,13,13,12,12
Tuscaloosa,19,22,22,22,19,19,16,16,12,13
London,9,10,12,9,12,13,12,13,12,11
