"term","estimate","std.error","statistic","p.value"
"(Intercept)",11.7555555555556,1.04079910962497,11.2947402114818,9.53731504260868e-06
"TANNIN",-1.21666666666667,0.218611539702289,-5.56542746244575,0.000846073840595748
